,Unnamed: 0,Ad_id,User_id,Judul,Kategori,Harga,Deskripsi,Alamat,Kecamatan,Kab/Kota,LAT,LON
73,73,813116808,38275298,"Villa Murah di Bali, Lokasi Nusa Dua #villamurahdibali",5158,Rp 6.500.000.000,"*Dijual 1 unit villa yang terletak di central nusa dua Jln Siligita. Dengan view tol laut bali mandara. Lokasi ini terletak di area kompleks villa yang aman, nyaman dan tenang Security 24 Jam*  *Spesifikasi :*  • Luas tanah : 593 m2 • SHM/freehold/aspek • Akses jalan : paving 5 meter • 4 bedroom • Pool • Security post • Listrik : 1o.ooo watt • PDAM • IMB • Bangunan thn 2006 • Garase : 2 mobil • Unfurnish • Villa kosong sejak tahun 2019  *Dijual Harga : Rp 6,5M Nego",Siligita Nusa Dua Bali,Kuta Selatan,Kab. Badung,-8.804883,115.222016
74,74,815291128,108375762,Di jual villa lokasi nusa dua bali,5158,Rp 1.750.000.000,Villa Di Gedong Sari Benoa Mumbul Nusa Dua Jimbaran Badung  Full Furnish Luas Tanah 200 m² Luas Bangunan 115 m² SHM  IMB  Kamar Tidur 2  Kamar Mandi 2 Living Room  Swimming Pool 3x5 + Deck  Air Sumur bor  Lokasi : 2 km ke Pintu Toll Nusa Dua 1 km ke Jalan Utama By pass  Harga 1.75 M  Nk,mumbul nusa dua bali,Kuta Selatan,Kab. Badung,-8.785179,115.1959762
75,75,815290058,2519620,Villa Murah View Sawah Di Bumbak Umalas Dkt Canggu Seminyk Kerobokan,5158,Rp 3.500.000.000,"Dijual Villa Murah View Sawah Fully Furnish di kawasan Bumbak Umalas Kuta Utara Badung Bali. Lokasi strategis dekat Canggu, Seminyak, Batu Belig, Raya Semer, Kerobokan, Petitenget. dw  - Luas Tanah 2,5 Are / 250m² - Luas Bangunan 300m² - Kamar Tidur 6 - Kamar Mandi 6 - Kamar Staff + Kamar Mandi - Pool ukuran 3x6 meter - Full Furnished - Ruang tamu - Ruang makan - Garasi - Teras - Air Sumur Bor - Listrik 10600 Watt - Akses Jalan 5 meter Paving - SHM - IMB 2008  NB : Bisa dipakai guess house  ## Harga 3,5 Milyar ## (KHUSUS UNTUK PEMBELI SERIUS)  HUBUNGI, GUNG BAGUS",Bumbak Umalas Kuta Utara Badung Bali,Kuta Utara,Kab. Badung,-8.661050699999999,115.1523255
76,76,815289726,5090697,Villa Murah View Sawah Di Bumbak Umalas Dkt Canggu Seminyak Kerobokan,5158,Rp 3.500.000.000,"Dijual Villa View Sawah Fully Furnish di kawasan Bumbak Umalas Kuta Utara Badung Bali. Lokasi strategis dekat Canggu, Seminyak, Batu Belig, Raya Semer, Kerobokan, Petitenget. dw  - Luas Tanah 2,5 Are / 250m² - Luas Bangunan 300m² - Kamar Tidur 6 - Kamar Mandi 6 - Kamar Staff + Kamar Mandi - Pool ukuran 3x6 meter - Full Furnished - Ruang tamu - Ruang makan - Garasi - Teras - Air Sumur Bor - Listrik 10600 Watt - Akses Jalan 5 meter Paving - SHM - IMB 2008  NB : Bisa dipakai guess house  ## Harga 3,5 Milyar ## (KHUSUS UNTUK PEMBELI SERIUS)  HUBUNGI, GUNG BAGUS",Bumbak Umalas Badung Bali,Kuta Utara,Kab. Badung,-8.6590759,115.1500624
77,77,815289576,64679506,Villa gedong sari mumbul,5158,Rp 1.750.000.000,Villa Di Gedong Sari Benoa Mumbul Nusa Dua Jimbaran Badung  Full Furnish Luas Tanah 200 m² Luas Bangunan 115 m² SHM  IMB  Kamar Tidur 2  Kamar Mandi 2 Living Room  Swimming Pool 3x5 + Deck  Air Sumur bor  Lokasi : 2 km ke Pintu Toll Nusa Dua 1 km ke Jalan Utama By pass  Harga 1.75 M   Ar11w Dko,Gedong sari mumbul,Kuta Selatan,Kab. Badung,-8.7911884,115.1989722
78,78,780361679,95006487,Rumah Buc Ekonomis di Panjer Denpasar Selatan dekat Renon dan Sesetan,5158,Rp 2.200.000.000,"Dijual rumah 2 lt di Panjer  LT 175 m2 LB 175 m2 2 Lt, KT 3+ 1, KM 2 gudang listrik 3500 W Air PDAM Kondisi full furnished  Harga 2,2 M nego",Jalan Tukad Pakerisan Panjer Denpasar,Denpasar Selatan,Denpasar Kota,-8.686128199999999,115.2261462
79,79,815289145,113096710,MILIKI SECEPATNYA HUNIAN LENGKAP DI JIMBARAN BALI,5158,Rp 1.441.520.000,"Perumahan Dengan Nuansa Pedesaan Modern di Bali  Perum Damara Merupakan sebuah kawasan residensial dengan beragam fasilitas asri dan menyenangkan. Terdapat beragam tipe hunian dengan desain minimalis modern yang dibangun dengan spesifikasi bangunan terbaik. Dengan beragam fasilitas yang ada, suasana yang asri, dan lokasi yang strategis, Damara Village Jimbaran merupakan sebuah tempat terbaik untuk keluarga modern saat ini dan di masa depan.   Spesifikasi  Type Damita : 69m2 (Tersedia berbagai Types) - Kamar Tidur : 2  - Kamar mandi : 2  - Ruang Tamu  - Ruang Keluarga  - Dapur  - Carport - Balkon  - Halaman Depan & Belakang  - Air : PDAM  - Listrik : 2200 watt   Type Dahayu : 101 m2  - Kamar Tidur : 3 +1  - Kamar mandi : 3  - Ruang Tamu  - Ruang Keluarga  - Dapur  - Carport  - Halaman Depan  - Air : PDAM  - Listrik : 2200 watt  Fasilitas :  - Club House  - Swimming Pool  - Gym  - Function Room  - Playgrounds  - Retail Shop  - Landscape Garden  - 24 Hours Security System Lokasi Damara  Village berada di lokasi strategis di Jimbaran Bali.   Dekat dengan beragam titik penting di Puau Dewata, Seperti :  • 1 Menit ke Sekolah Asian Intercultural  • 3 Menit ke Desa Gaya Hidup Samasta  • 5 Menit ke Makanan Laut Jimbaran  • 5 Menit ke Taman Budaya GWK  • 5 Menit ke Universitas Udayana  • 5 Menit ke Rumah Sakit Udayana  • 10 Menit ke Gerbang Tol Madara  • 15 Menit ke Bandara Ngurah Rai   Harga mulai 1,4M",Jimbaran Bali,Kuta,Kab. Badung,-8.790694499999999,115.1592718
80,80,801060347,35934038,Rumah Baru 1.1 km dari pantai gunung payung Kutuh,5158,Rp 1.050.000.000,Rumah baru pantai gunung payung. 1.1 km lapangan golf 700 meter Struktur lantai 4 Lebar depan 6 meter  lantai 2 terbuka view laut bisa buat duduk-duduk maupun lanjut lantai hingga lantai 4 Semua besi beton di las jadi 1 shg tidak ada retak beton atau retak tembok atau retak rambut Bagian kebun bisa dibuatkan kolam renang ukuran 6 x 4 meter Fully Furnised   Marketing Welcome  sebelah ada tanah kosong lagi 300m2. bisa ambil 100m2 dengan harga 450jt/100m2/are  Langsung pemilik IMB dalam proses,Jalan gunung payung kutuh Jimbaran,Kuta Selatan,Kab. Badung,-8.830790499999999,115.1929466
82,82,811113092,18486648,RUMAH SAMPING RS PRIMA MEDICA SESETAN DENPASAR,5158,Rp 865.000.000,"Wiracana residence. Hunian exlusif di pusat kota denpasar, sangat cantik dengan konsep minimalis moderent. Dp 10% Bonus Free biaya pajak dan notaris Free kanopi, batu sikat dan pagar 3 unit terakhir",Jalan raya utama sesetan denpasar,Denpasar Selatan,Denpasar Kota,-8.716637,115.220766
83,83,812984380,111724868,Ratnamaya home resort  villa exlusive di kawasan elit Uluwatu Bali,5158,Rp 1.700.000.000,"Ratnamaya Home Resort Uluwatu Bali  Dapatkan promo menarik subsidi full furnish interior villa senilai 50 jt  Ada 3 pilihan design : the Dewata, Light industrial, luxury modern  Dan dapatkan free SHM untuk cara bayar DP 50 %,  Semua tipe sudah lengkap dengan private pool  Total luas lahan 4000 M2 Ada 21 unit villa Row jalan dalam komplek 6 meter Jaringan listrik underground One gate sistem di lengkapi dengan security 24 jam  Lokasi sangat strategis: 5 menit ke OMNIA ( SAVAYA BALI) 9 menit ke Sundays Beach Club' 12 menit ke Single Finn Cliffside Bar 13 menit ke pantai Melasti  Selling point': Future partnership dengan Traveloka Pembangunan akhir tahun 2020 Legalitas clean & clear  Segera dapatkan unit impian anda dengan booking fee sebesar 20 jt Stok terbatas sisa 5 unit   Info lengkap hubungi : Endang",Jl belimbing Sari Pecatu kuta selatan Badung Bali,Kuta Selatan,Kab. Badung,-8.8345953,115.1364605
