,Unnamed: 0,Ad_id,User_id,Judul,Kategori,Harga,Deskripsi,Alamat,Kecamatan,Kab/Kota,LAT,LON
34,34,815343565,3069881,Tanah 10 are view laut dekat pantai melasti ungasan,4827,Rp 355.000.000,"Dijual tanah :  Luas tanah : 10 are ( 1000 m2 ) Sertipikat    : SHM Harga            : Rp.355 juta / are View              : laut Lokasi           ; jl. Mengelak dekat pantai melasti ungasan, bisa masuk dari jl. Pura masuka dan bisa jg masuk dari jl. Tukad selatan Itr                       : perumahan Posisi tanah nempel dengan villa Budha hill ungasan Juga tersedia lahan lain jual / sewa di wilayah bali Terimakasih",Jl. Mengelak ungasan kuta selatan,Kuta Selatan,Kab. Badung,-8.830197199999999,115.1616268
35,35,815343521,109512784,Kavling hak milik siap bangun lokasi Canggu,4827,Rp 499.000.000,"SEDANG MENCARI  KAVLING SIAP BANGUN DENGAN PENAWARAN TERBAIK ?  Hanya di KAVLING CANGGU, ditawarkan kavling SHM siap bangun di lokasi Premium dengan pemandangan hamparan sawah yang hijau. Kavling Canggu menyediakan beberapa pilihan unit Kavling dengan luas yang beragam sesuai dengan kebutuhan anda.  Harga khusus PROMO Awal Tahun hanya Rp 499 Juta per Are Harga Normal Rp 550 Juta per Ar Luas Tanah mulai dari 2 Are sampai dengan 10 Are  Berlokasi tepat di pinggir jalan raya Tumbak Bayuh Canggu dan hanya beberapa menit dari pantai-pantai di Canggu, menyediakan pemandangan sunset yang eksotis. Kavling Canggu hadir sebagai pilihan terbaik bagi anda yang mencari investasi tanah siap bangun dengan lokasi dan harga terbaik.  FASILITAS & KEUNGGULAN 10 menit dari pantai hits Canggu 45 menit dari Bandara One Gate System  Security 24 jam Taman dan Irigasi Saluran Listrik & Air Free SHM Lokasi Strategis  View sawah ROI tinggi  Silahkan hubungi marketing untuk info selengkapnya.  CONTACT Untuk fast response silahkan hubungi kami via whatsapp di nomor yang tercantum di iklan atau silahkan kirimkan pesan.  Happy Day!","Jalan Tumbak Bayuh, Pererenan, Canggu, Kuta Utara, Badung, Bali",Kuta Utara,Kab. Badung,-8.623130699999999,115.1375424
36,36,815343243,109512784,Jual unit kavling lokasi sgt premium di Canggu,4827,Rp 499.000.000,"Hanya 10 menit dari Echo Beach dan Pantai Lima KAVLING CANGGU menyajikan pemandangan cantik menakjubkan dengan hamparan sawah yang hijau. Kavling Canggu berada di salah satu lokasi paling dicari di Canggu Bali. Kami memiliki beberapa unit kavling yang tersedia sesuai dengan kebutuhan anda.  Kavling ini berada di lokasi yang sangat premium, hanya beberapa menit berkendara dari berbagai banyak tempat favorit dan wisata terbaik di kawasan Canggu Bali.  Dengan view sawah yang hijau dan tenang, kavling ini sangat cocok untuk membangun Private Villa karena Kavling Canggu sudah dilengkapi dengan sarana infrastruktur yang lengkap.  Kavling SHM ini dijual dengan harga  PROMO AWAL TAHUN Rp 499 Juta per Are Luas Tanah : Tersedia luas mulai dari 2 sampai 10 Are   Untuk informasi lebih lanjut atau untuk melihat properti ini, silahkan hubungi marketing kami.  CONTACT Untuk fast response silahkan hubungi kami via whatsapp di nomor yang tercantum di iklan atau silahkan kirimkan pesan.  Happy Day!","Jalan Tumbak Bayuh, Pererenan, Canggu, Kuta Utara, Badung, Bali",Denpasar Barat,Denpasar Kota,-8.623130699999999,115.1375424
37,37,815343017,109512784,Segera miliki kavling strategis di Canggu dgn harga yg murah,4827,Rp 499.000.000,"Miliki segera kavling premium siap bangun KAVLING CANGGU berlokasi tepat di pinggir jalan Tumbak Bayuh Canggu. Hanya beberapa menit dari berbagai pantai wisata di Canggu.  MENGAPA MEMILIH KAVLING CANGGU ? Lokasi strategis Akses jalan utama Harga jual dibawah harga pasar View sawah Siap bangun Legalitas terjamin One Gate System  Keamanan 24 jam Taman Row jalan lebar Saluran listrik dan air PAM  Tersedia beberapa pilihan luas kavling yang dapat anda pilih sesuai kebutuhan. Tanah ini merupakan investasi yang sangat menguntungkan.  PROMO UNTUK AWAL TAHUN HARGA PROMO : Rp 499 Juta per Are Harga Normal : Rp. 550 Juta per Are Luas Kavling : 2 Are sd 10 Are  Untuk informasi lebih lanjut atau untuk melihat properti ini, silahkan hubungi marketing kami.  CONTACT Untuk fast response silahkan hubungi kami via whatsapp di nomor yang tercantum di iklan atau silahkan kirimkan pesan.  Happy Day!","Jalan Tumbak Bayuh, Pererenan, Canggu, Kuta Utara, Badung, Bali",Kuta Utara,Kab. Badung,-8.623130699999999,115.1375424
38,38,815342318,3069881,Tnh 50 are cliff front pantai melasti ungasan,4827,Rp 1.500.000.000,"Dijual tanah : Luas tanah : 50 are ( 5000 m2 ) Sertipikat    : SHM Harga          : Rp. 1,5 miliyar / are Lokasi         : masuk dari jalan karma kandara , tanah nempel dgn sinaran surga Cocok untuk bangun villa elit dan beach club Juga tersedia lahan lain jual / sewa di wilayah bali Terimakasih",Jalan karma menuju pantai melasti ungasan,Kuta Selatan,Kab. Badung,-8.848648599999999,115.1593918
39,39,815341940,111730075,"Lokasi Premium, Dijual Tanah Murah Canggu.",4827,Rp 4.990.005.800,KAVLING CANGGU  Kesempatan emas untuk  ber investasi di Canggu Bali. Tanah Kavling hak milik ini menawarkan akses langsung dari jalan utama Tumbak Bayuh Canggu dengan view pemandangan sawah yang menakjubkan.   DETAIL KAVLING SHM Hak Milik Luas Tanah mulai dari 200 m2 Infrastruktur & Fasilitas lengkap  PROMO AWAL TAHUN  HARGA Rp. 499 Juta per Are Normal Rp. 550 Juta per Are  Luas : 10 Are Harga Global : Rp.4.990.000.000  AKSESIBILITAS Bandara Ngurah Rai : 45 Menit Patung GWK : 35 menit Pantai Echo : 10 menit Pantai Lima : 10 menit    CONTACT Untuk fast response silahkan hubungi kami via whatsapp di nomor yang tercantum di iklan atau silahkan kirimkan pesan.  Happy Day!!,Jalan Tumbak Bayuh. Bali.,Denpasar Selatan,Denpasar Kota,-8.6230354,115.1455615
40,40,814397144,2838115,Tanah Lingkungan Villa & Homestay di Nusa Dua Selatan,4827,Rp 260.000.000,"Dijual tanah kavling terbatas di lingkungan strategis villa & homestay di Gunung Payung, Kutuh, Kuta Selatan. Jumlah terbatas hanya 6 unit.  Lebar jalan depan 5 meter. Aspek ITR pemukiman. Lokasi tepat berada di salah satu villa.  * 5 menit ke pantai Gunung Payung * 8 menit ke pantai Pandawa * 12 menit ke RSU Surya Husada Nusa Dua * 13 menit ke GWK * 15 menit ke Kwsn BTDC Nusa Dua * 24 menit ke airport Ngurah Rai  Harga : 260 juta/ are (260 juta / 100 M2)",Jl Gunung Payung Kutuh Kuta Selatan,Kuta Selatan,Kab. Badung,-8.830790499999999,115.1929466
41,41,815056058,58239023,Tanah Murah Di jl Utama Pantai Kelating #Kedunggu Tanah Lot Yeh Gangga,4827,Rp 100.000.000,"*Dijual sebidang tanah kosong terletak di di jalan utama pantai kelating, tabanan. Dengan view sawah dan gunung yang natural. Suasana yang aman, nyaman dan bebas banjir*  *Spesifikasi:*  • Luas tanah : 3.550 m2 ( 35,5 are ) • Lebar depan : 20 meter • Tanah hadap : barat • Kontur : datar melandai di belakang • Shm/freehold/aspek rumah tinggal • Akses jalan : 6 meter aspal • 5 menit ke Pantai • 30 menit ke canggu  *Sangat cocok untuk kapling villa atau investasi*  *Harga : Rp 100.000.000/100 m2/are*",Jln Utama Pantai Kelating,Kerambitan,Tabanan Kab.,-8.5714671,115.0623342
42,42,814933673,15369797,Disewakan tanah siap bangun lokasi elite 5 jt perkavling selama 20 thn,4827,Rp 6.000.000,"Haloo Para investore   - miliki segera hunian / tanah sewa di kota denpasar, lokasi nyaman dan strategis dgn akses jalan besar hotmix.  - DP 30 % selanjutnya bisa di angsur bertahap tanpa bunga ( 0 % )   - rasakan perasaan tenang dan nyaman memiliki Kav ini dgn peruntukan lahan hanya untuk Residence, Villa dan rumah komersial   Lokasi sangat dekat dgn - pusat2 perkantoran  - pusat pemerintahan kota  - mall dan pertokoan  - obyek wisata  - rumah sakit besar  - dan hanya 25 menit menuju bandara",Jalan tukad balian renon denpasar,Denpasar Selatan,Denpasar Kota,-8.686622999999999,115.2418109
43,43,805889877,29661354,Super murahh BUC kavling 289m dkt Mc.D Jimbaran 800m dr warung bu Oki,4827,Rp 235.000.000,"Dijual cepat murah BUC tanah kavling 289 meter persegi dekat Mc.D Bypass Jimbaran 800 meter dari jalan raya Uluwatu II Mc.D Jimbaran, lingkungan cantik sekali  Hubungi WA  #korona #covid19 #bu #buc #butuh #dana #uang #lelang #jual #cepat #bali #Jimbaran #kedonganan #jalan #murah #corona #price #harga #side #sale",Bu Oki Jimbaran,Kuta Selatan,Kab. Badung,-8.784163,115.172532
